Supplier,Industry,Fuel,Origin,Destination,Mode,Year,Value
Port,Hvc,LCMeOH,Hamburg,Leverkusen,pipeline,2030,0.0
Port,Hvc,LCMeOH,Hamburg,Leverkusen,pipeline,2035,0.0
Port,Hvc,LCMeOH,Hamburg,Leverkusen,pipeline,2040,0.0
Port,Hvc,LCMeOH,Hamburg,Leverkusen,pipeline,2045,0.0
Port,Hvc,LCMeOH,Hamburg,Leverkusen,pipeline,2050,0.0
Port,Hvc,LCH2,Hamburg,Leverkusen,pipeline,2030,0.0
Port,Hvc,LCH2,Hamburg,Leverkusen,pipeline,2035,0.0
Port,Hvc,LCH2,Hamburg,Leverkusen,pipeline,2040,0.0
Port,Hvc,LCH2,Hamburg,Leverkusen,pipeline,2045,0.0
Port,Hvc,LCH2,Hamburg,Leverkusen,pipeline,2050,0.0
Port,Fertilizer,H2,Hamburg,Ludwigshafen,pipeline,2030,2.6185844797328692
Port,Fertilizer,H2,Hamburg,Ludwigshafen,pipeline,2035,2.618584479732869
Port,Fertilizer,H2,Hamburg,Ludwigshafen,pipeline,2040,0.0
Port,Fertilizer,H2,Hamburg,Ludwigshafen,pipeline,2045,0.0
Port,Fertilizer,H2,Hamburg,Ludwigshafen,pipeline,2050,0.0
Port,Fertilizer,NH3,Hamburg,Ludwigshafen,pipeline,2030,0.0
Port,Fertilizer,NH3,Hamburg,Ludwigshafen,pipeline,2035,0.0
Port,Fertilizer,NH3,Hamburg,Ludwigshafen,pipeline,2040,0.0
Port,Fertilizer,NH3,Hamburg,Ludwigshafen,pipeline,2045,0.0
Port,Fertilizer,NH3,Hamburg,Ludwigshafen,pipeline,2050,0.0
Port,Fertilizer,MeOH,Hamburg,Ludwigshafen,pipeline,2030,0.0
Port,Fertilizer,MeOH,Hamburg,Ludwigshafen,pipeline,2035,0.0
Port,Fertilizer,MeOH,Hamburg,Ludwigshafen,pipeline,2040,0.0
Port,Fertilizer,MeOH,Hamburg,Ludwigshafen,pipeline,2045,0.0
Port,Fertilizer,MeOH,Hamburg,Ludwigshafen,pipeline,2050,0.0
Port,Fertilizer,LCNH3,Hamburg,Ludwigshafen,pipeline,2030,0.0
Port,Fertilizer,LCNH3,Hamburg,Ludwigshafen,pipeline,2035,0.0
Port,Fertilizer,LCNH3,Hamburg,Ludwigshafen,pipeline,2040,0.0
Port,Fertilizer,LCNH3,Hamburg,Ludwigshafen,pipeline,2045,0.0
Port,Fertilizer,LCNH3,Hamburg,Ludwigshafen,pipeline,2050,0.0
Port,Fertilizer,LCMeOH,Hamburg,Ludwigshafen,pipeline,2030,0.0
Port,Fertilizer,LCMeOH,Hamburg,Ludwigshafen,pipeline,2035,0.0
Port,Fertilizer,LCMeOH,Hamburg,Ludwigshafen,pipeline,2040,0.0
Port,Fertilizer,LCMeOH,Hamburg,Ludwigshafen,pipeline,2045,0.0
Port,Fertilizer,LCMeOH,Hamburg,Ludwigshafen,pipeline,2050,0.0
Port,Fertilizer,LCH2,Hamburg,Ludwigshafen,pipeline,2030,0.0
Port,Fertilizer,LCH2,Hamburg,Ludwigshafen,pipeline,2035,0.0
Port,Fertilizer,LCH2,Hamburg,Ludwigshafen,pipeline,2040,0.0
Port,Fertilizer,LCH2,Hamburg,Ludwigshafen,pipeline,2045,0.0
Port,Fertilizer,LCH2,Hamburg,Ludwigshafen,pipeline,2050,0.0
Port,Shipping,H2,Hamburg,Hamburg,pipeline,2030,0.0
