Supplier,Industry,Fuel,Origin,Destination,Mode,Year,Value
Producer,Port,H2,Chanaral,Antofagasta,pipeline,2035,0.0
Producer,Port,H2,Chanaral,Antofagasta,pipeline,2040,0.0
Producer,Port,H2,Chanaral,Antofagasta,pipeline,2045,0.0
Producer,Port,H2,Chanaral,Antofagasta,pipeline,2050,0.0
Producer,Port,H2,Teruel,Hamburg,pipeline,2030,0.0
Producer,Port,H2,Teruel,Hamburg,pipeline,2035,0.0
Producer,Port,H2,Teruel,Hamburg,pipeline,2040,0.0
Producer,Port,H2,Teruel,Hamburg,pipeline,2045,0.0
Producer,Port,H2,Teruel,Hamburg,pipeline,2050,0.0
Producer,Port,NH3,Chanaral,Antofagasta,pipeline,2030,0.0
Producer,Port,NH3,Chanaral,Antofagasta,pipeline,2035,0.0
Producer,Port,NH3,Chanaral,Antofagasta,pipeline,2040,0.0
Producer,Port,NH3,Chanaral,Antofagasta,pipeline,2045,0.0
Producer,Port,NH3,Chanaral,Antofagasta,pipeline,2050,0.0
Producer,Port,NH3,Teruel,Hamburg,pipeline,2030,32.10678731886761
Producer,Port,NH3,Teruel,Hamburg,pipeline,2035,0.0
Producer,Port,NH3,Teruel,Hamburg,pipeline,2040,0.0
Producer,Port,NH3,Teruel,Hamburg,pipeline,2045,0.0
Producer,Port,NH3,Teruel,Hamburg,pipeline,2050,0.0
Producer,Port,MeOH,Chanaral,Antofagasta,pipeline,2030,14.996756030108825
Producer,Port,MeOH,Chanaral,Antofagasta,pipeline,2035,0.0
Producer,Port,MeOH,Chanaral,Antofagasta,pipeline,2040,0.0
Producer,Port,MeOH,Chanaral,Antofagasta,pipeline,2045,0.0
Producer,Port,MeOH,Chanaral,Antofagasta,pipeline,2050,0.0
Producer,Port,MeOH,Teruel,Hamburg,pipeline,2030,0.0
Producer,Port,MeOH,Teruel,Hamburg,pipeline,2035,0.0
Producer,Port,MeOH,Teruel,Hamburg,pipeline,2040,0.0
Producer,Port,MeOH,Teruel,Hamburg,pipeline,2045,0.0
Producer,Port,MeOH,Teruel,Hamburg,pipeline,2050,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,submarine,2030,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,submarine,2035,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,submarine,2040,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,submarine,2045,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,submarine,2050,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,submarine,2030,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,submarine,2035,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,submarine,2040,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,submarine,2045,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,submarine,2050,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,submarine,2030,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,submarine,2035,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,submarine,2040,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,submarine,2045,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,submarine,2050,0.0
LC Producer,Port,LCNH3,Fiska,Hamburg,submarine,2030,0.0
LC Producer,Port,LCNH3,Fiska,Hamburg,submarine,2035,0.0
LC Producer,Port,LCNH3,Fiska,Hamburg,submarine,2040,0.0
LC Producer,Port,LCNH3,Fiska,Hamburg,submarine,2045,0.0
LC Producer,Port,LCNH3,Fiska,Hamburg,submarine,2050,0.0
LC Producer,Port,LCMeOH,Fiska,Hamburg,submarine,2030,0.0
LC Producer,Port,LCMeOH,Fiska,Hamburg,submarine,2035,0.0
LC Producer,Port,LCMeOH,Fiska,Hamburg,submarine,2040,0.0
LC Producer,Port,LCMeOH,Fiska,Hamburg,submarine,2045,0.0
LC Producer,Port,LCMeOH,Fiska,Hamburg,submarine,2050,0.0
LC Producer,Port,LCH2,Fiska,Hamburg,submarine,2030,0.0
LC Producer,Port,LCH2,Fiska,Hamburg,submarine,2035,0.0
LC Producer,Port,LCH2,Fiska,Hamburg,submarine,2040,0.0
LC Producer,Port,LCH2,Fiska,Hamburg,submarine,2045,0.0
LC Producer,Port,LCH2,Fiska,Hamburg,submarine,2050,0.0
Port,Hvc,H2,Hamburg,Leverkusen,pipeline,2030,6.8259061989941845
Port,Hvc,H2,Hamburg,Leverkusen,pipeline,2035,0.0
Port,Hvc,H2,Hamburg,Leverkusen,pipeline,2040,0.0
Port,Hvc,H2,Hamburg,Leverkusen,pipeline,2045,0.0
Port,Hvc,H2,Hamburg,Leverkusen,pipeline,2050,0.0
Port,Hvc,NH3,Hamburg,Leverkusen,pipeline,2030,0.0
Port,Hvc,NH3,Hamburg,Leverkusen,pipeline,2035,0.0
Port,Hvc,NH3,Hamburg,Leverkusen,pipeline,2040,0.0
Port,Hvc,NH3,Hamburg,Leverkusen,pipeline,2045,0.0
Port,Hvc,NH3,Hamburg,Leverkusen,pipeline,2050,0.0
Port,Hvc,MeOH,Hamburg,Leverkusen,pipeline,2030,1.3923344250741136
Port,Hvc,MeOH,Hamburg,Leverkusen,pipeline,2035,0.0
Port,Hvc,MeOH,Hamburg,Leverkusen,pipeline,2040,0.0
Port,Hvc,MeOH,Hamburg,Leverkusen,pipeline,2045,0.0
Port,Hvc,MeOH,Hamburg,Leverkusen,pipeline,2050,0.0
Port,Hvc,LCNH3,Hamburg,Leverkusen,pipeline,2030,0.0
Port,Hvc,LCNH3,Hamburg,Leverkusen,pipeline,2035,0.0
Port,Hvc,LCNH3,Hamburg,Leverkusen,pipeline,2040,0.0
Port,Hvc,LCNH3,Hamburg,Leverkusen,pipeline,2045,0.0
Port,Hvc,LCNH3,Hamburg,Leverkusen,pipeline,2050,0.0
Port,Hvc,LCMeOH,Hamburg,Leverkusen,pipeline,2030,0.0
Port,Hvc,LCMeOH,Hamburg,Leverkusen,pipeline,2035,0.0
Port,Hvc,LCMeOH,Hamburg,Leverkusen,pipeline,2040,0.0
Port,Hvc,LCMeOH,Hamburg,Leverkusen,pipeline,2045,0.0
Port,Hvc,LCMeOH,Hamburg,Leverkusen,pipeline,2050,0.0
Port,Hvc,LCH2,Hamburg,Leverkusen,pipeline,2030,0.0
Port,Hvc,LCH2,Hamburg,Leverkusen,pipeline,2035,0.0
Port,Hvc,LCH2,Hamburg,Leverkusen,pipeline,2040,0.0
Port,Hvc,LCH2,Hamburg,Leverkusen,pipeline,2045,0.0
Port,Hvc,LCH2,Hamburg,Leverkusen,pipeline,2050,0.0
Port,Fertilizer,H2,Hamburg,Ludwigshafen,pipeline,2030,2.618584479732869
Port,Fertilizer,H2,Hamburg,Ludwigshafen,pipeline,2035,0.0
Port,Fertilizer,H2,Hamburg,Ludwigshafen,pipeline,2040,0.0
Port,Fertilizer,H2,Hamburg,Ludwigshafen,pipeline,2045,0.0
Port,Fertilizer,H2,Hamburg,Ludwigshafen,pipeline,2050,0.0
Port,Fertilizer,NH3,Hamburg,Ludwigshafen,pipeline,2030,0.0
Port,Fertilizer,NH3,Hamburg,Ludwigshafen,pipeline,2035,0.0
Port,Fertilizer,NH3,Hamburg,Ludwigshafen,pipeline,2040,0.0
Port,Fertilizer,NH3,Hamburg,Ludwigshafen,pipeline,2045,0.0
Port,Fertilizer,NH3,Hamburg,Ludwigshafen,pipeline,2050,0.0
Port,Fertilizer,MeOH,Hamburg,Ludwigshafen,pipeline,2030,0.0
Port,Fertilizer,MeOH,Hamburg,Ludwigshafen,pipeline,2035,0.0
Port,Fertilizer,MeOH,Hamburg,Ludwigshafen,pipeline,2040,0.0
Port,Fertilizer,MeOH,Hamburg,Ludwigshafen,pipeline,2045,0.0
Port,Fertilizer,MeOH,Hamburg,Ludwigshafen,pipeline,2050,0.0
Port,Fertilizer,LCNH3,Hamburg,Ludwigshafen,pipeline,2030,0.0
Port,Fertilizer,LCNH3,Hamburg,Ludwigshafen,pipeline,2035,0.0
Port,Fertilizer,LCNH3,Hamburg,Ludwigshafen,pipeline,2040,0.0
