Supplier,Industry,Fuel,Origin,Destination,Year,Value
LC Producer,Hvc,LCH2,Fiska,Leverkusen,2030,0.0
LC Producer,Hvc,LCH2,Fiska,Leverkusen,2035,0.0
LC Producer,Hvc,LCH2,Fiska,Leverkusen,2040,0.0
LC Producer,Hvc,LCH2,Fiska,Leverkusen,2045,0.0
LC Producer,Hvc,LCH2,Fiska,Leverkusen,2050,0.0
LC Producer,Fertilizer,LCNH3,Fiska,Ludwigshafen,2030,0.0
LC Producer,Fertilizer,LCNH3,Fiska,Ludwigshafen,2035,0.0
LC Producer,Fertilizer,LCNH3,Fiska,Ludwigshafen,2040,0.0
LC Producer,Fertilizer,LCNH3,Fiska,Ludwigshafen,2045,0.0
LC Producer,Fertilizer,LCNH3,Fiska,Ludwigshafen,2050,0.0
LC Producer,Fertilizer,LCH2,Fiska,Ludwigshafen,2030,0.0
LC Producer,Fertilizer,LCH2,Fiska,Ludwigshafen,2035,0.0
LC Producer,Fertilizer,LCH2,Fiska,Ludwigshafen,2040,0.0
LC Producer,Fertilizer,LCH2,Fiska,Ludwigshafen,2045,0.0
LC Producer,Fertilizer,LCH2,Fiska,Ludwigshafen,2050,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,2030,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,2035,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,2040,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,2045,0.0
LC Producer,Shipping,LCNH3,Fiska,Hamburg,2050,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,2030,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,2035,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,2040,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,2045,0.0
LC Producer,Shipping,LCMeOH,Fiska,Hamburg,2050,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,2030,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,2035,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,2040,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,2045,0.0
LC Producer,Shipping,LCH2,Fiska,Hamburg,2050,0.0
LC Producer,Steel,LCH2,Fiska,Duisburg,2030,0.0
LC Producer,Steel,LCH2,Fiska,Duisburg,2035,0.0
LC Producer,Steel,LCH2,Fiska,Duisburg,2040,0.0
LC Producer,Steel,LCH2,Fiska,Duisburg,2045,0.0
LC Producer,Steel,LCH2,Fiska,Duisburg,2050,0.0
