Industry;Process;Fuel;Status;Year;Parameter;Unit;Fichtner_Value;Source;Other_Value;Source_1;Description;Comment
Shipping;ICE;BtL;Any;2040;LCOF;EUR/kWH;;;8922566061;;;
Shipping;ICE;BtL;Any;2045;LCOF;EUR/kWH;;;9764317576;;;
Shipping;ICE;BtL;Any;2050;LCOF;EUR/kWH;;;8585865455;;;
Shipping;ICE;MGO;;2030;Capex;€/kW;;;385;;With onboard production of hydrogen. Thus costs for storing hydrogen can be avoided;
Shipping;ICE;MGO;;2035;Capex;€/kW;;;385;;;
Shipping;ICE;MGO;;2040;Capex;€/kW;;;385;;;
Shipping;ICE;MGO;;2045;Capex;€/kW;;;385;;;
Shipping;ICE;MGO;;2050;Capex;€/kW;;;385;;;
Shipping;ICE;Biodiesel;;2030;Capex;€/kW;;;385;;;
Shipping;ICE;Biodiesel;;2035;Capex;€/kW;;;385;;;
Shipping;ICE;Biodiesel;;2040;Capex;€/kW;;;385;;;
Shipping;ICE;Biodiesel;;2045;Capex;€/kW;;;385;;;
Shipping;ICE;Biodiesel;;2050;Capex;€/kW;;;385;;;
Shipping;ICE;LNG;;2030;Capex;€/kW;;;558;;;
Shipping;ICE;LNG;;2035;Capex;€/kW;;;558;;;
Shipping;ICE;LNG;;2040;Capex;€/kW;;;558;;;
Shipping;ICE;LNG;;2045;Capex;€/kW;;;558;;;
Shipping;ICE;LNG;;2050;Capex;€/kW;;;558;;;
Shipping;ICE;H2;;2030;Capex;€/kW;;;400;;;
Shipping;ICE;H2;;2035;Capex;€/kW;;;400;;;
Shipping;ICE;H2;;2040;Capex;€/kW;;;400;;;
Shipping;ICE;H2;;2045;Capex;€/kW;;;400;;;
Shipping;ICE;H2;;2050;Capex;€/kW;;;400;;;
Shipping;ICE;MeOH;;2030;Capex;€/kW;;;558;;;
Shipping;ICE;MeOH;;2035;Capex;€/kW;;;558;;;
Shipping;ICE;MeOH;;2040;Capex;€/kW;;;558;;;
Shipping;ICE;MeOH;;2045;Capex;€/kW;;;558;;;
Shipping;ICE;MeOH;;2050;Capex;€/kW;;;558;;;
Shipping;H2 FC;;;2030;Capex;€/kW;;;1692;;;
Shipping;VLSFO ICE;;;2020;Capex;€/kW;;;190;;;
Shipping;ICE;NH3;;2020;Capex;€/kW;;;500;;;
Shipping;ICE;NH3;;2030;Capex;€/kW;;;500;;;
