Industry;Item;Process ;Status;Year;Parameter;Unit;Fichtner_Value;Source;Other_Value;Source;Description;Comment
Shipping;ICE;LNG;;2035;Input Stichiometry;MWh/ 100 Naut. Mile;;;725,62;;;
Shipping;ICE;LNG;;2040;Input Stichiometry;MWh/ 100 Naut. Mile;;;1574,46;;;
Shipping;ICE;LNG;;2045;Input Stichiometry;MWh/ 100 Naut. Mile;;;725,62;;;
Shipping;ICE;LNG;;2050;Input Stichiometry;MWh/ 100 Naut. Mile;;;725,62;;;Assumption: 10% efficiency increase between 2040 and 2050
Shipping;ICE;MGO;;Any;Energy Density;MJ/l;;;46;;;
Shipping;ICE;LNG;;Any;Energy Density;MJ/l;;;21;;;
Shipping;ICE;LNG;;Any;Relative Energy Density;density LNG / density MGO in %;;;46%;;;
;;;;;Fertilizer;Fertilizer Synthese ;Fertilizer;2035;3,3;0,438596491;ggf. Pypsa Daten + Umwiwdmung mto + mta;
;;;;;Fertilizer;Fertilizer Synthese ;Fertilizer;2040;3,3;;Zusammenfassen;
;;;;;Fertilizer;Fertilizer Synthese ;Fertilizer;2045;3,3;;;
;;;;;Fertilizer;Fertilizer Synthese ;Fertilizer;2050;3,3;;;
;;;;;Fertilizer;Hb;NH3;2030;1;;;
;;;;;Fertilizer;Hb;NH3;2035;1;;;
;;;;;Fertilizer;Hb;NH3;2040;1;;;
;;;;;Fertilizer;Hb;NH3;2045;1;;;
;;;;;Fertilizer;Hb;NH3;2050;1;;;
;;;;;Fertilizer;Smr;H2;2030;1;;;
;;;;;Fertilizer;Smr;H2;2035;1;;;
;;;;;Fertilizer;Smr;H2;2040;1;;;
;;;;;Fertilizer;Smr;H2;2045;1;;;
;;;;;Fertilizer;Smr;H2;2050;1;;;
;;;;;Shipping;MGO;Conventional ICE;2030;1;;;
;;;;;Shipping;MGO;Conventional ICE;2035;1;;;
;;;;;Shipping;MGO;Conventional ICE;2040;1;;;
;;;;;Shipping;MGO;Conventional ICE;2045;0,95;;;
;;;;;Shipping;MGO;Conventional ICE;2050;0,9;;;
;;;;;Shipping;Biodiesel;Conventional ICE;2030;1;;;
;;;;;Shipping;Biodiesel;Conventional ICE;2035;1;;;
;;;;;Shipping;Biodiesel;Conventional ICE;2040;1;;;
;;;;;Shipping;Biodiesel;Conventional ICE;2045;0,95;;;
